"종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","종목코드"
"삼성전자",88000,1700,-0.019,100,5253409,5969783,0.5557,33117980,24.03,8.69,"005930"
"SK하이닉스",127500,3000,-0.023,5000,928203,728002,0.502,4763450,32.34,4.25,"000660"
"LG화학",979000,31000,-0.0307,5000,691099,70592,0.4359,442295,91.47,1.84,"051910"
"삼성전자우",77600,1200,-0.0152,100,638560,822887,0.8052,3116433,21.19,NA,"005935"
"삼성바이오로직스",804000,12000,-0.0147,2500,531967,66165,0.104,136954,149.69,4.77,"207940"
"현대차",240000,10500,-0.0419,5000,512804,213668,0.3095,3863728,57.35,4.32,"005380"
"삼성SDI",737000,12000,-0.016,5000,506795,68765,0.4417,529273,251.45,2.94,"006400"
"NAVER",306000,12000,-0.0377,100,502646,164263,0.565,1097141,60.92,10.56,"035420"
"셀트리온",329000,23500,-0.0667,1000,444143,134998,0.2037,3316763,88.92,11.19,"068270"
"카카오",437500,14000,-0.031,500,387196,88502,0.3344,988518,-485.57,-5.81,"035720"
"현대모비스",321500,5500,-0.0168,5000,305601,95055,0.4228,762127,19.61,7.28,"012330"
"기아차",71100,2700,-0.0366,5000,288213,405363,0.3711,4411976,33.04,6.5,"000270"
"삼성물산",153500,1000,0.0066,100,286872,186887,0.1495,1205070,25.72,4.77,"028260"
"LG생활건강",1580000,16000,-0.01,5000,246768,15618,0.4564,45893,35.4,20.32,"051900"
"SK이노베이션",262500,500,0.0019,5000,242722,92466,0.2416,1526026,-9.98,-0.2,"096770"
"POSCO",275000,7000,-0.0248,5000,239764,87187,0.51,370851,25.19,4.18,"005490"
"LG전자",140000,7000,-0.0476,5000,229107,163648,0.3444,2768740,30.41,0.22,"066570"
"SK",302500,3500,-0.0114,200,212840,70360,0.2202,923531,1276.37,4.31,"034730"
"엔씨소프트",935000,4000,-0.0043,500,205270,21954,0.4917,109461,36.59,14.72,"036570"
"SK텔레콤",251500,4000,-0.0157,500,203075,80746,0.3444,514837,18.52,3.92,"017670"
"KB금융",45200,1350,-0.029,5000,187945,415808,0.6638,2543502,5.51,8.92,"105560"
"LG",106000,2500,-0.023,5000,182911,172557,0.3477,721387,14.98,5.87,"003550"
"신한지주",33350,700,-0.0206,5000,172262,516527,0.5814,3764710,4.78,9.09,"055550"
"삼성생명",82600,2300,-0.0271,500,165200,2e+05,0.124,833899,16.59,3.26,"032830"
"한국전력",25300,650,-0.025,5000,162417,641964,0.1735,5461512,175.69,-3.42,"015760"
"삼성에스디에스",203500,6000,-0.0286,500,157464,77378,0.1182,319622,30.04,11.76,"018260"
"삼성전기",201500,6000,-0.0289,5000,150508,74694,0.3555,1101397,41.28,10.18,"009150"
"아모레퍼시픽",220500,7000,0.0328,500,128901,58458,0.3235,827989,354.5,5.36,"090430"
"SK바이오팜",153000,2000,-0.0129,500,119819,78313,0.0516,251870,-139.09,-313.66,"326030"
"하나금융지주",38150,1100,-0.028,5000,114542,300242,0.6715,2092170,4.67,8.77,"086790"
"KT&G",81700,400,-0.0049,5000,112168,137292,0.4051,818998,11.4,12.39,"033780"
"넷마블",124000,2500,-0.0198,100,106448,85845,0.2281,439152,50.22,3.54,"251270"
"롯데케미칼",301000,15000,-0.0475,5000,103169,34275,0.2678,303877,88.97,5.51,"011170"
"한온시스템",17200,650,-0.0364,100,91814,533800,0.2025,1256031,65.4,14.98,"018880"
"한화솔루션",55400,100,-0.0018,5000,88565,159864,0.1957,4412798,-98.58,-4.02,"009830"
"삼성화재",186000,3000,-0.0159,500,88117,47375,0.4477,176183,13.6,4.85,"000810"
"S-Oil",75300,2400,-0.0309,2500,84775,112583,0.7613,611144,-10.1,1.01,"010950"
"한국조선해양",114000,4500,-0.038,5000,80681,70773,0.165,431307,377.48,1.4,"009540"
"포스코케미칼",129000,2500,-0.019,500,78675,60988,0.0736,431736,289.89,11.57,"003670"
"고려아연",412500,8000,-0.019,5000,77839,18870,0.2352,88387,13.9,9.76,"010130"
"LG디스플레이",21050,450,-0.0209,5000,75320,357816,0.2394,5923326,-3.06,-22.35,"034220"
"우리금융지주",9920,180,-0.0178,5000,71649,722268,0.2529,2737829,5.32,NA,"316140"
"현대글로비스",187000,1500,0.0081,500,70125,37500,0.35,391134,10.51,11.25,"086280"
"CJ제일제당",437000,11000,-0.0246,5000,65787,15054,0.2466,100791,9.07,3.16,"097950"
"미래에셋대우",10100,200,-0.0194,5000,65177,645316,0.1483,3658266,10.55,7.56,"006800"
"기업은행",8670,170,-0.0192,5000,64042,738664,0.106,3306030,4.43,7.36,"024110"
"KT",24100,50,-0.0021,5000,62928,261112,0.439,1556483,10.27,4.61,"030200"
"신풍제약",116500,1500,-0.0127,500,61728,52985,0.1224,670925,3236.11,0.8,"019170"
"현대제철",43300,600,-0.0137,5000,57782,133446,0.1967,879990,-23.46,0.1,"004020"
"대한항공",32150,600,-0.0183,5000,56008,174210,0.1262,9691288,-7.33,-22.09,"003490"
"빅히트",157000,9000,-0.0542,500,55929,35624,0.0375,686754,NA,56.47,"352820"
"코웨이",73800,1500,-0.0199,500,54464,73800,0.6091,294827,15.25,30.74,"021240"
"KODEX 200",42550,955,-0.022,0,54358,127750,0.1506,10716356,NA,NA,"069500"
"강원랜드",25200,450,-0.0175,500,53913,213940,0.2251,1208639,-28.38,9.16,"035250"
"LG유플러스",12200,50,-0.0041,5000,53267,436611,0.3071,3497981,6.72,6.3,"032640"
"한미사이언스",78500,2400,-0.0297,500,51819,66011,0.0157,217910,356.82,4.73,"008930"
"아모레G",62500,700,0.0113,500,51536,82458,0.1993,396507,220.85,4.12,"002790"
"유한양행",76300,1500,-0.0193,1000,51012,66857,0.2056,666121,29.39,2.43,"000100"
"금호석유",167000,5000,-0.0291,5000,50881,30468,0.2923,303787,14.29,11.84,"011780"
"두산중공업",13550,350,-0.0252,5000,50763,374637,0.1082,3145003,-2.92,-14.73,"034020"
"한국타이어앤테크놀로지",40050,500,-0.0123,500,49612,123875,0.4014,523428,19.27,6.03,"161390"
"이마트",174500,3500,-0.0197,5000,48643,27876,0.3173,322268,8.71,2.76,"139480"
"녹십자",415500,8000,0.0196,5000,48558,11687,0.2058,636279,111.45,-0.35,"006280"
"HMM",14800,400,-0.0263,5000,48355,326726,0.0738,3643336,-47.74,-55.46,"011200"
"한국금융지주",86400,1400,-0.0159,5000,48147,55726,0.3042,541994,7.91,18.14,"071050"
"오리온",121500,2000,-0.0162,500,48036,39536,0.4191,126974,17.55,14.24,"271560"
"현대건설",42800,1950,-0.0436,5000,47660,111356,0.1905,1861440,20.87,6.3,"000720"
"한진칼",66400,1100,-0.0163,2500,43998,66263,0.1533,152005,-10.95,-17.56,"180640"
"LG이노텍",185000,4000,-0.0212,5000,43784,23667,0.3219,213840,33.54,4.73,"011070"
"삼성중공업",6940,190,-0.0266,5000,43722,630000,0.1561,7852969,-3.5,-21.88,"010140"
"현대중공업지주",273500,5500,-0.0197,5000,43209,15799,0.1771,72950,-16.57,2.2,"267250"
"한미약품",360500,14500,-0.0387,2500,42694,11843,0.1365,69073,-3500,7.3,"128940"
"SK케미칼",349500,6500,-0.0183,5000,41036,11741,0.1763,194901,15.95,1.51,"285130"
"SKC",104000,1000,-0.0095,5000,39383,37868,0.0793,349229,46.16,3.86,"011790"
"맥쿼리인프라",10450,50,0.0048,0,38894,372192,0.1388,998817,NA,NA,"088980"
"현대차2우B",106500,2000,-0.0184,5000,38857,36485,0.6109,375349,25.45,NA,"005387"
"CJ대한통운",169000,2000,-0.0117,5000,38553,22812,0.2127,145958,30.47,1.41,"000120"
"롯데지주",36400,1150,-0.0306,200,38187,104909,0.1131,405599,-5.33,-5.21,"004990"
"삼성카드",32700,200,-0.0061,5000,37886,115859,0.106,196263,9.19,5.04,"029780"
"LG화학우",490000,11000,0.023,5000,37675,7689,0.621,131938,45.78,NA,"051915"
"삼성증권",41550,1500,-0.0348,5000,37104,89300,0.2593,1117697,7.89,8.15,"016360"
"GS",39750,800,-0.0197,5000,36934,92915,0.1947,518578,-43.11,6.26,"078930"
"키움증권",147000,6000,-0.0392,5000,35322,24029,0.2227,254232,6.49,16.97,"039490"
"더존비즈온",116000,1000,0.0087,500,34937,30118,0.4641,116816,72.09,18.78,"012510"
"두산퓨얼셀",52900,1100,-0.0204,100,34646,65494,0.1855,843352,155.13,NA,"336260"
"대웅",59000,200,0.0034,500,34304,58142,0.0522,3187033,67.97,10.43,"003090"
"CJ",116500,1500,0.013,5000,33991,29177,0.2054,425364,19.35,6.24,"001040"
"롯데쇼핑",119500,3500,-0.0285,5000,33805,28289,0.1152,256866,-2.52,-8.14,"023530"
"GS건설",41900,1000,-0.0233,5000,33675,80370,0.273,763650,10.96,11.79,"006360"
"만도",71700,1900,-0.0258,1000,33668,46957,0.2567,1180831,-60.71,7.55,"204320"
"에스원",87700,0,0,500,33325,37999,0.5606,100828,23.08,11.32,"012750"
"호텔신라",84900,0,0,5000,33322,39248,0.1983,786566,-25.77,20.16,"008770"
"NH투자증권",11750,300,-0.0249,5000,33066,281409,0.1508,1957889,5.71,9.12,"005940"
"쌍용양회",6530,110,-0.0166,100,32902,503860,0.0325,1593454,26.22,7.02,"003410"
"두산밥캣",32450,900,-0.027,500,32531,100249,0.2163,496495,17.56,7.05,"241560"
"동서",32100,900,-0.0273,500,32004,99700,0.0413,229513,23.14,10.53,"026960"
"한국가스공사",33800,800,-0.0231,5000,31202,92313,0.0893,1100061,-6.22,0.48,"036460"
"DB손해보험",43150,200,-0.0046,500,30550,70800,0.4132,195198,5.5,6.92,"005830"
"TIGER 200",42560,920,-0.0212,0,30537,71750,0.0175,1908757,NA,NA,"102110"
"대우조선해양",27750,750,-0.0263,5000,29773,107291,0.0933,359403,17.08,-1.22,"042660"
"대림산업",83000,0,0,5000,28884,34800,0.3233,0,4.39,11.74,"000210"
"현대차우",117000,2500,-0.0209,5000,28497,24357,0.5568,649178,27.96,NA,"005385"
"휠라홀딩스",45950,1100,-0.0234,1000,27916,60752,0.4863,364989,15.49,23.81,"081660"
"씨에스윈드",161000,4500,-0.0272,500,27830,17286,0.0874,185121,56.14,9.92,"112610"
"GS리테일",35700,900,-0.0246,1000,27489,77000,0.1485,319066,16.27,6.25,"007070"
"일진머티리얼즈",59000,1800,-0.0296,500,27205,46111,0.0881,592588,61.2,8.52,"020150"
"한국항공우주",27750,450,0.0165,5000,27049,97475,0.1463,1198811,20.43,15.84,"047810"
"삼성엔지니어링",13700,300,-0.0214,5000,26852,196000,0.2469,2219235,10.51,24.62,"028050"
"한화생명",3070,100,-0.0315,5000,26664,868530,0.0731,7394434,11.67,0.51,"088350"
"DB하이텍",59900,500,0.0084,5000,26595,44399,0.2638,1775443,16.16,17.4,"000990"
"현대오토에버",125000,4500,-0.0347,500,26250,21000,0.0112,135314,45.67,11.71,"307950"
"팬오션",4755,215,-0.0433,1000,25419,534570,0.1171,3402766,18.79,5.49,"028670"
"하이트진로",35750,850,-0.0232,5000,25073,70134,0.0901,837132,33.79,-3.86,"000080"
"BGF리테일",145000,6500,-0.0429,1000,25062,17284,0.313,74631,19.15,26.46,"282330"
"메리츠증권",3685,95,-0.0251,1000,24909,675962,0.1328,3496738,4.61,15.06,"008560"
"대우건설",5930,120,-0.0198,5000,24646,415623,0.0826,5693547,12.81,8.8,"047040"
"OCI",102500,5500,-0.0509,5000,24446,23849,0.1996,412149,-3.31,-26.2,"010060"
"신세계",247500,6500,-0.0256,5000,24367,9845,0.247,189002,-7.95,14.24,"004170"
"한샘",103000,1000,-0.0096,1000,24240,23534,0.2321,142222,36.17,7.32,"009240"
"제일기획",20400,650,-0.0309,200,23468,115041,0.3296,656254,17.29,15.09,"030000"
"한화",31200,500,0.0163,5000,23387,74959,0.201,1334602,12.71,2.09,"000880"
"LS",71900,900,-0.0124,5000,23152,32200,0.1275,305143,-998.61,0.8,"006260"
"종근당",210500,18000,-0.0788,2500,22914,10886,0.1337,592724,24.97,11.94,"185750"
"현대로템",20350,650,-0.031,5000,22210,109142,0.0472,1923417,-11.56,-37.93,"064350"
"녹십자홀딩스",47200,3400,0.0776,500,22197,47028,0.0694,8601495,44.61,0.37,"005250"
"한솔케미칼",195500,2500,0.013,5000,22082,11295,0.3961,91155,18.81,20.88,"014680"
"오뚜기",573000,6000,-0.0104,5000,21040,3672,0.1639,9000,19.36,7.79,"007310"
"한화시스템",18600,300,0.0164,5000,20503,110230,0.0265,1027183,26.35,8.15,"272210"
"현대위아",75300,3900,-0.0492,5000,20478,27195,0.1105,842430,16.27,1.8,"011210"
"대웅제약",174000,4000,0.0235,2500,20161,11587,0.051,553763,-1216.78,4.34,"069620"
"KODEX 200선물인버스2X",2135,90,0.044,0,20060,939600,0.0236,539776232,NA,NA,"252670"
"현대미포조선",50100,2100,-0.0402,5000,20011,39942,0.1329,558219,43.12,2.31,"010620"
"현대해상",22350,100,-0.0045,500,19981,89400,0.3757,779190,5.48,6.23,"001450"
"LS ELECTRIC",65800,2400,-0.0352,5000,19740,30000,0.1393,343600,25.36,7.82,"010120"
"BNK금융지주",5880,110,-0.0184,5000,19165,325935,0.382,2149834,3.99,7.07,"138930"
"포스코인터내셔널",15250,50,0.0033,5000,18815,123375,0.1127,1016338,8.41,7.06,"047050"
"현대백화점",79000,1000,-0.0125,5000,18488,23402,0.1453,225380,16.19,4.64,"069960"
"KODEX 단기채권",102665,5,0,0,18359,17882,0.0336,29955,NA,NA,"153130"
"대한유화",281000,3000,-0.0106,5000,18265,6500,0.1912,93100,20.57,6.11,"006650"
"HDC현대산업개발",27650,700,-0.0247,5000,18223,65907,0.1048,1038791,6.86,20.3,"294870"
"한화에어로스페이스",35950,3450,0.1062,5000,18201,50630,0.1865,3379943,25.21,5.45,"012450"
"명신산업",44600,2700,-0.0571,500,18187,40779,0.0122,2034463,NA,53.84,"009900"
"한올바이오파마",34700,100,0.0029,500,18128,52241,0.0743,403846,92.04,14.9,"009420"
"농심",297500,2500,-0.0083,5000,18096,6083,0.1828,58319,13.35,3.72,"004370"
"KCC",202500,2500,-0.0122,5000,17995,8886,0.1176,36562,-642.86,-4.37,"002380"
"메리츠화재",14900,150,-0.01,500,17973,120625,0.1,463777,4.37,12.8,"000060"
"두산인프라코어",8260,380,-0.044,5000,17834,215913,0.0593,6459606,10.66,11.59,"042670"
"현대엘리베이",43050,950,-0.0216,5000,17571,40815,0.2566,393951,19.28,5.22,"017800"
"KODEX 레버리지",27315,1190,-0.0417,0,17536,64200,0.0152,60075761,NA,NA,"122630"
"KODEX MSCI Korea TR",13820,295,-0.0209,0,17247,124800,0.103,653152,NA,NA,"278540"
"KODEX 삼성그룹",10805,170,-0.0155,0,16899,156400,3e-04,730823,NA,NA,"102780"
"부광약품",26050,1100,-0.0405,500,16890,64838,0.0492,1905806,13025,-2,"003000"
"KODEX 200TR",13690,310,-0.0221,0,16325,119250,8e-04,289403,NA,NA,"278530"
"TIGER MSCI Korea TR",17350,375,-0.0212,0,16274,93800,0,300009,NA,NA,"310970"
"효성",77000,200,-0.0026,5000,16225,21071,0.0651,211096,-36.1,4.25,"004800"
"아이에스동서",52400,1300,-0.0242,500,16188,30893,0.054,143793,12.63,6.1,"010780"
"솔루스첨단소재",51600,900,-0.0171,100,15784,30590,0.096,643162,149.13,NA,"336370"
"F&F",101000,500,-0.0049,500,15554,15400,0.0957,148767,17.85,25.13,"007700"
"KODEX 종합채권(AA-이상)액티브",110055,15,-1e-04,0,15128,13746,0,42120,NA,NA,"273130"
"지누스",105000,1000,-0.0094,500,15127,14407,0.2253,87702,21.19,26.32,"013890"
"LG생활건강우",704000,3000,0.0043,5000,14782,2100,0.8449,5722,15.77,NA,"051905"
"NHN",75400,1000,-0.0131,500,14752,19565,0.1176,108678,50.23,0.78,"181710"
"영원무역",33250,600,-0.0177,500,14734,44311,0.2372,202848,9,9.82,"111770"
"롯데정밀화학",55500,900,-0.016,5000,14319,25800,0.2285,161029,8.37,11.73,"004000"
"한국테크놀로지그룹",14800,0,0,500,13767,93020,0.0704,311715,12.35,4.71,"000240"
"영진약품",7360,80,-0.0108,500,13461,182893,0.0427,1237182,-1840,4.43,"003520"
"아시아나항공",18000,0,0,5000,13394,74412,0.2032,25104787,-1.56,-90.67,"020560"
"메리츠금융지주",9870,30,-0.003,500,13227,134011,0.0826,132129,2.84,15.26,"138040"
"한전KPS",28250,100,-0.0035,200,12712,45000,0.1109,226495,10.49,14.98,"051600"
"이노션",62700,1000,-0.0157,500,12540,20000,0.2961,91489,19.53,9.88,"214320"
"SK네트웍스",5040,30,-0.0059,2500,12509,248188,0.1235,961396,-21.82,-5.85,"001740"
"신세계인터내셔날",174500,2000,-0.0113,5000,12459,7140,0.0506,85555,27.63,12.98,"031430"
"DGB금융지주",7340,50,-0.0068,5000,12415,169146,0.4737,726942,3.74,7.31,"139130"
"세방전지",87500,5600,0.0684,500,12250,14000,0.2657,522552,16.58,7.7,"004490"
"한국콜마",53500,1800,0.0348,500,12241,22881,0.2799,945902,38.49,6.39,"161890"
